"Method","URL","Source","Line"
"DELETE","https://helixon.co.uk/api/candidates/{}/tags/{}","app\api\candidates\[id]\tags\[tagId]\route.js","5"
"GET","https://helixon.co.uk/api/agency-settings","app\api\agency-settings\route.js","4"
"GET","https://helixon.co.uk/api/analytics","app\api\analytics\route.js","3"
"GET","https://helixon.co.uk/api/auth/username-available","app\api\auth\username-available\route.js","6"
"GET","https://helixon.co.uk/api/candidate-notes","app\api\candidate-notes\route.js","4"
"GET","https://helixon.co.uk/api/candidates","app\api\candidates\route.js","10"
"GET","https://helixon.co.uk/api/candidates/{}","app\api\candidates\[id]\route.js","3"
"GET","https://helixon.co.uk/api/candidates?","lib\mock-data.js","33"
"GET","https://helixon.co.uk/api/dashboard-stats","app\api\dashboard-stats\route.js","4"
"GET","https://helixon.co.uk/api/employee/stats","app\employee\dashboard\page.js","77"
"GET","https://helixon.co.uk/api/employee/todos","app\employee\dashboard\page.js","88"
"GET","https://helixon.co.uk/api/jobs","app\api\jobs\route.js","3"
"GET","https://helixon.co.uk/api/jobs/{}","app\api\jobs\[id]\route.js","3"
"GET","https://helixon.co.uk/api/jobs/{}/candidates","app\api\jobs\[id]\candidates\route.js","3"
"GET","https://helixon.co.uk/api/sentry-example-api","app\api\sentry-example-api\route.js","12"
"GET","https://helixon.co.uk/api/shortlists","app\api\shortlists\route.js","4"
"GET","https://helixon.co.uk/api/team","app\api\team\route.js","3"
"GET","https://helixon.co.uk/api/trial/verify","app\api\trial\verify\route.js","18"
"PATCH","https://helixon.co.uk/api/candidates/{}/assignment","app\api\candidates\[id]\assignment\route.js","4"
"PATCH","https://helixon.co.uk/api/candidates/{}/next-action","app\api\candidates\[id]\next-action\route.js","6"
"PATCH","https://helixon.co.uk/api/candidates/{}/stage","app\api\candidates\[id]\stage\route.js","5"
"POST","https://helixon.co.uk/api/agency-settings","app\api\agency-settings\route.js","22"
"POST","https://helixon.co.uk/api/assistant","components\landing\ChatWidget.jsx","71"
"POST","https://helixon.co.uk/api/auth/forgot-password","app\forgot-password\page.js","130"
"POST","https://helixon.co.uk/api/auth/login","app\login\page.js","170"
"POST","https://helixon.co.uk/api/auth/logout","app\api\auth\logout\route.js","4"
"POST","https://helixon.co.uk/api/auth/mfa-verify","app\login\page.js","202"
"POST","https://helixon.co.uk/api/auth/resend-confirmation","app\verify-email\page.js","115"
"POST","https://helixon.co.uk/api/auth/signup","app\signup\page.jsx","288"
"POST","https://helixon.co.uk/api/auth/update-password","app\update-password\page.js","74"
"POST","https://helixon.co.uk/api/auth/verify-email","app\verify-email\page.js","86"
"POST","https://helixon.co.uk/api/candidate-notes","app\api\candidate-notes\route.js","22"
"POST","https://helixon.co.uk/api/candidates/{}/notes","app\api\candidates\[id]\notes\route.js","4"
"POST","https://helixon.co.uk/api/candidates/{}/tags","app\api\candidates\[id]\tags\route.js","5"
"POST","https://helixon.co.uk/api/checkout","app\page.js","496"
"POST","https://helixon.co.uk/api/contact","components\ContactPage.jsx","137"
"POST","https://helixon.co.uk/api/demo-request","app\demo\page.js","92"
"POST","https://helixon.co.uk/api/draft-email","app\api\draft-email\route.js","19"
"POST","https://helixon.co.uk/api/employee/login","app\employee\login\page.js","23"
"POST","https://helixon.co.uk/api/employee/logout","app\employee\dashboard\page.js","161"
"POST","https://helixon.co.uk/api/employee/todos","app\employee\dashboard\page.js","153"
"POST","https://helixon.co.uk/api/extract-cv","app\api\extract-cv\route.js","6"
"POST","https://helixon.co.uk/api/extract-job","app\api\extract-job\route.js","8"
"POST","https://helixon.co.uk/api/feedback","app\api\feedback\route.js","2"
"POST","https://helixon.co.uk/api/internal/edge-log","app\api\internal\edge-log\route.js","13"
"POST","https://helixon.co.uk/api/jobs","app\api\jobs\route.js","32"
"POST","https://helixon.co.uk/api/jobs/{}/add-candidates","app\api\jobs\[id]\add-candidates\route.js","21"
"POST","https://helixon.co.uk/api/jobs/{}/update-status","app\api\jobs\[id]\update-status\route.js","6"
"POST","https://helixon.co.uk/api/run","app\api\run\route.js","44"
"POST","https://helixon.co.uk/api/send-email","app\api\send-email\route.js","8"
"POST","https://helixon.co.uk/api/shortlists","app\api\shortlists\route.js","30"
"POST","https://helixon.co.uk/api/shortlists/add-candidate","app\api\shortlists\add-candidate\route.js","4"
"POST","https://helixon.co.uk/api/site-gate","app\under-development\page.jsx","87"
"POST","https://helixon.co.uk/api/trial/start","app\trial\check-email\page.jsx","35"
"POST","https://helixon.co.uk/api/update-artifact","app\api\update-artifact\route.js","3"
"POST","https://helixon.co.uk/api/webhooks/stripe","app\api\webhooks\stripe\route.js","14"
